#    L    TT             EE             BB             TE
     0    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
     1    1.02630E+03    0.34610E-01    0.18856E-05    0.28063E+01
     2    1.00166E+03    3.43799E-02    1.79217E-06    2.72360E+00
     3    1.04364E+03    4.59015E-02    3.30275E-06    3.49663E+00
     4    9.75540E+02    4.65030E-02    5.39875E-06    3.36536E+00
     5    8.01421E+02    2.92612E-02    7.93444E-06    2.32845E+00
     6    8.52092E+02    1.93627E-02    1.15398E-05    2.29171E+00
     7    8.44504E+02    9.83401E-03    1.56627E-05    1.68669E+00
     8    8.00320E+02    6.17447E-03    1.99417E-05    1.27430E+00
     9    8.23986E+02    4.60728E-03    2.43780E-05    1.09481E+00
    10    8.15132E+02    4.20874E-03    3.10596E-05    9.91124E-01
    11    7.96905E+02    3.48711E-03    3.57191E-05    8.35717E-01
    12    8.49460E+02    3.12698E-03    4.09935E-05    9.12879E-01
    13    8.31097E+02    2.76866E-03    4.86604E-05    9.06767E-01
    14    8.30292E+02    2.70943E-03    5.67499E-05    9.72571E-01
    15    8.78192E+02    2.94425E-03    6.77059E-05    1.03360E+00
    16    8.83151E+02    3.13932E-03    7.04941E-05    1.10861E+00
    17    8.97346E+02    3.47441E-03    8.30438E-05    1.14854E+00
    18    8.61911E+02    3.71547E-03    9.48174E-05    1.12384E+00
    19    9.09308E+02    4.42168E-03    1.02769E-04    1.29726E+00
    20    9.15556E+02    5.48152E-03    1.16946E-04    1.38411E+00
    21    9.50866E+02    6.00012E-03    1.23703E-04    1.38867E+00
    22    9.68317E+02    7.43822E-03    1.34801E-04    1.48959E+00
    23    9.65367E+02    8.43159E-03    1.48609E-04    1.53435E+00
    24    9.69458E+02    1.00726E-02    1.59801E-04    1.66952E+00
    25    9.95311E+02    1.20087E-02    1.77566E-04    1.82473E+00
    26    9.92797E+02    1.35772E-02    1.91176E-04    1.75497E+00
    27    1.02981E+03    1.46713E-02    2.03091E-04    1.82839E+00
    28    1.04763E+03    1.77825E-02    2.18916E-04    1.90103E+00
    29    1.06116E+03    1.95005E-02    2.47933E-04    1.93712E+00
    30    1.03463E+03    2.10954E-02    2.51780E-04    1.79706E+00
    31    1.05183E+03    2.33854E-02    2.72731E-04    1.88795E+00
    32    1.09438E+03    2.68057E-02    2.90045E-04    1.97115E+00
    33    1.12963E+03    3.03204E-02    3.13930E-04    2.05093E+00
    34    1.15526E+03    3.24582E-02    3.17780E-04    2.01857E+00
    35    1.14180E+03    3.77075E-02    3.48919E-04    2.05565E+00
    36    1.15980E+03    4.04605E-02    3.70951E-04    2.00093E+00
    37    1.16131E+03    4.42735E-02    3.84332E-04    1.80383E+00
    38    1.19371E+03    4.87640E-02    4.13539E-04    1.91218E+00
    39    1.18293E+03    5.13935E-02    4.27220E-04    1.78783E+00
    40    1.27699E+03    5.59884E-02    4.47991E-04    1.78817E+00
    41    1.21331E+03    6.26522E-02    4.68067E-04    1.63482E+00
    42    1.31392E+03    6.70529E-02    4.89890E-04    1.73303E+00
    43    1.30121E+03    7.48127E-02    5.30478E-04    1.52078E+00
    44    1.31768E+03    8.04329E-02    5.57836E-04    1.72973E+00
    45    1.29469E+03    8.67171E-02    5.79706E-04    1.29509E+00
    46    1.34981E+03    9.09824E-02    6.03750E-04    1.21384E+00
    47    1.37195E+03    9.61475E-02    6.48035E-04    9.18300E-01
    48    1.41346E+03    1.05648E-01    6.66399E-04    8.53108E-01
    49    1.39081E+03    1.10190E-01    7.01706E-04    8.87078E-01
    50    1.43548E+03    1.22171E-01    7.16910E-04    5.95762E-01
    51    1.44941E+03    1.22373E-01    7.32178E-04    4.90933E-01
    52    1.46998E+03    1.33579E-01    7.61678E-04    3.96888E-01
    53    1.48465E+03    1.43927E-01    7.88138E-04    8.03887E-04
    54    1.53583E+03    1.51394E-01    8.26379E-04    -4.60641E-01
    55    1.56392E+03    1.67005E-01    8.62857E-04    -6.23871E-01
    56    1.51765E+03    1.69863E-01    9.06922E-04    -7.29190E-01
    57    1.58115E+03    1.80222E-01    9.13945E-04    -9.57983E-01
    58    1.58635E+03    1.93171E-01    9.51235E-04    -1.27898E+00
    59    1.58757E+03    2.00630E-01    1.00799E-03    -1.72937E+00
    60    1.60663E+03    2.10756E-01    1.03023E-03    -1.88868E+00
    61    1.63986E+03    2.19413E-01    1.05892E-03    -2.25520E+00
    62    1.66146E+03    2.29752E-01    1.09671E-03    -2.50210E+00
    63    1.69011E+03    2.41119E-01    1.10221E-03    -3.01159E+00
    64    1.71533E+03    2.55647E-01    1.16544E-03    -3.47671E+00
    65    1.75052E+03    2.64436E-01    1.19003E-03    -3.50602E+00
    66    1.76027E+03    2.74633E-01    1.23214E-03    -3.95609E+00
    67    1.80968E+03    2.83863E-01    1.29244E-03    -4.28161E+00
    68    1.81639E+03    3.04222E-01    1.31954E-03    -4.99461E+00
    69    1.87325E+03    3.17389E-01    1.38137E-03    -5.10723E+00
    70    1.85688E+03    3.30383E-01    1.40819E-03    -5.92903E+00
    71    1.88416E+03    3.48344E-01    1.42554E-03    -6.41078E+00
    72    1.90740E+03    3.52346E-01    1.49020E-03    -6.26616E+00
    73    1.93394E+03    3.65898E-01    1.51757E-03    -6.57698E+00
    74    1.97043E+03    3.83496E-01    1.56101E-03    -7.45567E+00
    75    1.92925E+03    3.90363E-01    1.61318E-03    -7.55714E+00
    76    2.04277E+03    4.12772E-01    1.65306E-03    -8.54232E+00
    77    2.04045E+03    4.29123E-01    1.70111E-03    -9.15781E+00
    78    2.09337E+03    4.45386E-01    1.73437E-03    -9.86849E+00
    79    2.12281E+03    4.59475E-01    1.79357E-03    -1.00591E+01
    80    2.12244E+03    4.67065E-01    1.82665E-03    -1.05590E+01
    81    2.13426E+03    4.73954E-01    1.88653E-03    -1.08699E+01
    82    2.12029E+03    4.98353E-01    1.89480E-03    -1.16129E+01
    83    2.21172E+03    5.20338E-01    1.94276E-03    -1.28305E+01
    84    2.23537E+03    5.30368E-01    2.03987E-03    -1.32911E+01
    85    2.20144E+03    5.39613E-01    2.05172E-03    -1.31310E+01
    86    2.31730E+03    5.68142E-01    2.09812E-03    -1.48350E+01
    87    2.31045E+03    5.72661E-01    2.16537E-03    -1.48063E+01
    88    2.38138E+03    5.99631E-01    2.18085E-03    -1.54565E+01
    89    2.37658E+03    6.13197E-01    2.26246E-03    -1.62683E+01
    90    2.40575E+03    6.25098E-01    2.33872E-03    -1.66609E+01
    91    2.38872E+03    6.27914E-01    2.34345E-03    -1.66365E+01
    92    2.42315E+03    6.46479E-01    2.38653E-03    -1.76457E+01
    93    2.44584E+03    6.84039E-01    2.48104E-03    -1.86750E+01
    94    2.48981E+03    6.89466E-01    2.47786E-03    -1.96933E+01
    95    2.53131E+03    7.06416E-01    2.54219E-03    -2.00342E+01
    96    2.50363E+03    7.06922E-01    2.65994E-03    -1.99234E+01
    97    2.60194E+03    7.35933E-01    2.66510E-03    -2.13580E+01
    98    2.64219E+03    7.49243E-01    2.76213E-03    -2.16915E+01
    99    2.67446E+03    7.66552E-01    2.82974E-03    -2.23208E+01
   100    2.66940E+03    7.70597E-01    2.83992E-03    -2.31944E+01
   101    2.70637E+03    7.99014E-01    2.89656E-03    -2.39986E+01
   102    2.72967E+03    7.98133E-01    3.01287E-03    -2.38013E+01
   103    2.79515E+03    8.14715E-01    3.05218E-03    -2.50206E+01
   104    2.80193E+03    8.17786E-01    3.04616E-03    -2.53823E+01
   105    2.83977E+03    8.60014E-01    3.18535E-03    -2.66940E+01
   106    2.90473E+03    8.72268E-01    3.20317E-03    -2.77097E+01
   107    2.90473E+03    8.54261E-01    3.27457E-03    -2.69570E+01
   108    2.93707E+03    8.88563E-01    3.28937E-03    -2.83264E+01
   109    2.97822E+03    9.04269E-01    3.44295E-03    -2.90497E+01
   110    2.98868E+03    9.11392E-01    3.44880E-03    -2.93437E+01
   111    3.09219E+03    9.22050E-01    3.56847E-03    -3.01319E+01
   112    3.05302E+03    9.49965E-01    3.56826E-03    -3.08634E+01
   113    3.07789E+03    9.63390E-01    3.72184E-03    -3.17903E+01
   114    3.16699E+03    9.66132E-01    3.69946E-03    -3.19878E+01
   115    3.18642E+03    9.71725E-01    3.81570E-03    -3.30075E+01
   116    3.19171E+03    9.94647E-01    3.92290E-03    -3.36700E+01
   117    3.24866E+03    9.86482E-01    3.92592E-03    -3.38211E+01
   118    3.29064E+03    1.00226E+00    4.01097E-03    -3.41947E+01
   119    3.28732E+03    1.01883E+00    4.03883E-03    -3.49215E+01
   120    3.34223E+03    1.02087E+00    4.18840E-03    -3.53544E+01
   121    3.37833E+03    1.03284E+00    4.21637E-03    -3.64336E+01
   122    3.39196E+03    1.04963E+00    4.36131E-03    -3.63838E+01
   123    3.43727E+03    1.05019E+00    4.37287E-03    -3.69571E+01
   124    3.45334E+03    1.04808E+00    4.52538E-03    -3.77501E+01
   125    3.45694E+03    1.06517E+00    4.54308E-03    -3.81045E+01
   126    3.55561E+03    1.06892E+00    4.60502E-03    -3.88765E+01
   127    3.59060E+03    1.08549E+00    4.71111E-03    -3.92194E+01
   128    3.68254E+03    1.10489E+00    4.77346E-03    -4.10019E+01
   129    3.62866E+03    1.09782E+00    4.83896E-03    -4.03600E+01
   130    3.66593E+03    1.08394E+00    4.90040E-03    -3.97957E+01
   131    3.68002E+03    1.09355E+00    5.02702E-03    -4.08432E+01
   132    3.73431E+03    1.09551E+00    5.06382E-03    -4.10737E+01
   133    3.79490E+03    1.10374E+00    5.17511E-03    -4.19667E+01
   134    3.88312E+03    1.11050E+00    5.24310E-03    -4.28126E+01
   135    3.84547E+03    1.11132E+00    5.32767E-03    -4.24796E+01
   136    3.93756E+03    1.12767E+00    5.41426E-03    -4.37268E+01
   137    3.95637E+03    1.12159E+00    5.52166E-03    -4.38848E+01
   138    3.97861E+03    1.12490E+00    5.60249E-03    -4.40594E+01
   139    4.00565E+03    1.12046E+00    5.62567E-03    -4.40920E+01
   140    4.01370E+03    1.12334E+00    5.71453E-03    -4.41876E+01
   141    4.03665E+03    1.12695E+00    5.88077E-03    -4.43822E+01
   142    4.04984E+03    1.10966E+00    5.98409E-03    -4.43627E+01
   143    4.14463E+03    1.12367E+00    5.97957E-03    -4.54907E+01
   144    4.15585E+03    1.11154E+00    6.16916E-03    -4.46655E+01
   145    4.22792E+03    1.11188E+00    6.16662E-03    -4.52293E+01
   146    4.31778E+03    1.12471E+00    6.26778E-03    -4.68313E+01
