#    L    TT             EE             BB             TE          
     1    0.00039E+04    0.00000E+00    0.00000E+00    0.00000E+00
     2    0.10355E+04    5.12524E-02    2.90929E-06    4.09634E+00
     2    1.46770E+03    5.12524E-02    2.90929E-06    4.09634E+00
     3    1.42172E+03    5.45181E-02    3.81763E-06    4.24082E+00
     4    1.18975E+03    5.00649E-02    5.49654E-06    3.80827E+00
     5    1.01214E+03    3.92218E-02    8.09964E-06    3.13563E+00
     6    9.19372E+02    2.56428E-02    1.14791E-05    2.48995E+00
     7    8.85532E+02    1.50515E-02    1.54844E-05    1.96977E+00
     8    8.60164E+02    8.69769E-03    1.98890E-05    1.52065E+00
     9    8.45425E+02    5.72432E-03    2.48010E-05    1.22063E+00
    10    8.37860E+02    4.47313E-03    3.02834E-05    1.04555E+00
    11    8.35469E+02    3.78776E-03    3.58277E-05    9.43973E-01
    12    8.44022E+02    3.29575E-03    4.17087E-05    9.17981E-01
    13    8.49653E+02    2.97731E-03    4.87673E-05    9.38886E-01
    14    8.56395E+02    2.87195E-03    5.69990E-05    9.82298E-01
    15    8.74427E+02    2.97246E-03    6.53280E-05    1.04122E+00
    16    8.89905E+02    3.18971E-03    7.32601E-05    1.09948E+00
    17    8.93581E+02    3.47635E-03    8.27425E-05    1.14193E+00
    18    8.93694E+02    3.87845E-03    9.34505E-05    1.18901E+00
    19    9.06290E+02    4.50798E-03    1.04068E-04    1.27356E+00
    20    9.27139E+02    5.32009E-03    1.14715E-04    1.35841E+00
    21    9.49021E+02    6.22576E-03    1.24867E-04    1.41882E+00
    22    9.65186E+02    7.31250E-03    1.35663E-04    1.48300E+00
    23    9.72592E+02    8.58869E-03    1.47952E-04    1.56484E+00
    24    9.80154E+02    1.01099E-02    1.61421E-04    1.66839E+00
    25    9.92330E+02    1.17987E-02    1.76029E-04    1.75691E+00
    26    1.00722E+03    1.34383E-02    1.90391E-04    1.79804E+00
    27    1.02727E+03    1.52023E-02    2.04795E-04    1.83675E+00
    28    1.04563E+03    1.73095E-02    2.21950E-04    1.88284E+00
    29    1.05268E+03    1.93616E-02    2.40365E-04    1.89281E+00
    30    1.05272E+03    2.13362E-02    2.56101E-04    1.87556E+00
    31    1.06491E+03    2.37379E-02    2.72399E-04    1.90051E+00
    32    1.09382E+03    2.67235E-02    2.90824E-04    1.96524E+00
    33    1.12488E+03    2.99058E-02    3.08554E-04    2.01723E+00
    34    1.14450E+03    3.32293E-02    3.25599E-04    2.03517E+00
    35    1.15224E+03    3.69358E-02    3.46338E-04    2.02502E+00
    36    1.15947E+03    4.06286E-02    3.67982E-04    1.97046E+00
    37    1.17113E+03    4.43585E-02    3.88286E-04    1.89839E+00
    38    1.18723E+03    4.81705E-02    4.09061E-04    1.85881E+00
    39    1.21019E+03    5.20082E-02    4.28715E-04    1.81742E+00
    40    1.23705E+03    5.65807E-02    4.48139E-04    1.75981E+00
    41    1.25763E+03    6.20072E-02    4.69516E-04    1.70460E+00
    42    1.28487E+03    6.78366E-02    4.95424E-04    1.66364E+00
    43    1.30483E+03    7.40952E-02    5.25944E-04    1.62109E+00
    44    1.31124E+03    8.02854E-02    5.54954E-04    1.54981E+00
    45    1.31993E+03    8.59783E-02    5.80941E-04    1.38327E+00
    46    1.34407E+03    9.13276E-02    6.09192E-04    1.18033E+00
    47    1.37419E+03    9.73420E-02    6.40432E-04    1.00251E+00
    48    1.39643E+03    1.04372E-01    6.69471E-04    8.87797E-01
    49    1.41053E+03    1.11746E-01    6.95310E-04    7.93623E-01
    50    1.42947E+03    1.18901E-01    7.16689E-04    6.49813E-01
    51    1.45084E+03    1.25469E-01    7.37099E-04    4.92586E-01
    52    1.47109E+03    1.33561E-01    7.61989E-04    2.95657E-01
    53    1.49626E+03    1.43115E-01    7.91840E-04    -9.95984E-03
    54    1.52608E+03    1.53177E-01    8.26284E-04    -3.44108E-01
    55    1.54346E+03    1.63178E-01    8.62910E-04    -5.86133E-01
    56    1.55015E+03    1.71822E-01    8.95733E-04    -7.69373E-01
    57    1.56708E+03    1.81059E-01    9.23545E-04    -9.97362E-01
    58    1.58388E+03    1.91355E-01    9.57423E-04    -1.30472E+00
    59    1.59531E+03    2.01038E-01    9.96829E-04    -1.63553E+00
    60    1.61277E+03    2.10340E-01    1.03075E-03    -1.93199E+00
    61    1.63749E+03    2.19878E-01    1.06059E-03    -2.23126E+00
    62    1.66363E+03    2.30225E-01    1.08899E-03    -2.57607E+00
    63    1.69018E+03    2.41786E-01    1.11863E-03    -2.97550E+00
    64    1.71772E+03    2.53679E-01    1.15569E-03    -3.33553E+00
    65    1.74462E+03    2.64462E-01    1.19485E-03    -3.61899E+00
    66    1.77103E+03    2.74870E-01    1.23723E-03    -3.94840E+00
    67    1.79970E+03    2.87179E-01    1.28312E-03    -4.37123E+00
    68    1.82805E+03    3.02062E-01    1.32748E-03    -4.83321E+00
    69    1.85290E+03    3.16956E-01    1.37001E-03    -5.29393E+00
    70    1.86884E+03    3.31116E-01    1.40544E-03    -5.79966E+00
    71    1.88589E+03    3.44074E-01    1.43950E-03    -6.19186E+00
    72    1.90922E+03    3.55068E-01    1.48032E-03    -6.42024E+00
    73    1.93401E+03    3.67147E-01    1.52151E-03    -6.75597E+00
    74    1.95270E+03    3.80687E-01    1.56394E-03    -7.25500E+00
    75    1.97380E+03    3.94781E-01    1.60942E-03    -7.79768E+00
    76    2.01334E+03    4.11242E-01    1.65418E-03    -8.44990E+00
    77    2.05242E+03    4.28398E-01    1.69745E-03    -9.12975E+00
    78    2.08618E+03    4.43999E-01    1.74108E-03    -9.69479E+00
    79    2.11192E+03    4.56941E-01    1.78679E-03    -1.01241E+01
    80    2.12452E+03    4.67440E-01    1.83157E-03    -1.05309E+01
    81    2.13254E+03    4.79883E-01    1.87200E-03    -1.10332E+01
    82    2.15270E+03    4.97575E-01    1.90868E-03    -1.17470E+01
    83    2.19069E+03    5.15787E-01    1.95717E-03    -1.25447E+01
    84    2.21996E+03    5.30329E-01    2.01402E-03    -1.31238E+01
    85    2.24471E+03    5.44953E-01    2.06008E-03    -1.36507E+01
    86    2.28631E+03    5.61816E-01    2.10429E-03    -1.43530E+01
    87    2.32711E+03    5.78384E-01    2.15192E-03    -1.49541E+01
    88    2.36040E+03    5.95758E-01    2.20070E-03    -1.55144E+01
    89    2.38235E+03    6.11279E-01    2.25959E-03    -1.61016E+01
    90    2.39462E+03    6.22712E-01    2.31514E-03    -1.65467E+01
    91    2.40460E+03    6.34033E-01    2.35565E-03    -1.69793E+01
    92    2.42356E+03    6.52120E-01    2.40119E-03    -1.76998E+01
    93    2.45275E+03    6.74080E-01    2.45324E-03    -1.86192E+01
    94    2.48657E+03    6.90754E-01    2.49916E-03    -1.94178E+01
    95    2.51412E+03    7.02740E-01    2.55814E-03    -1.99177E+01
    96    2.54143E+03    7.15251E-01    2.62782E-03    -2.03801E+01
    97    2.58755E+03    7.32007E-01    2.68914E-03    -2.10646E+01
    98    2.63407E+03    7.49022E-01    2.75285E-03    -2.17453E+01
    99    2.66310E+03    7.63281E-01    2.81048E-03    -2.24072E+01
   100    2.68201E+03    7.76815E-01    2.85636E-03    -2.31222E+01
   101    2.70648E+03    7.90858E-01    2.91534E-03    -2.37140E+01
   102    2.74082E+03    8.02100E-01    2.98622E-03    -2.41995E+01
   103    2.77859E+03    8.13085E-01    3.03972E-03    -2.48447E+01
   104    2.81128E+03    8.29074E-01    3.08807E-03    -2.56439E+01
   105    2.84739E+03    8.49727E-01    3.15290E-03    -2.65318E+01
   106    2.88518E+03    8.62851E-01    3.21256E-03    -2.71820E+01
   107    2.91323E+03    8.70066E-01    3.26476E-03    -2.75717E+01
   108    2.94069E+03    8.84345E-01    3.32720E-03    -2.81861E+01
   109    2.97309E+03    9.00484E-01    3.40386E-03    -2.88890E+01
   110    3.01189E+03    9.13077E-01    3.47427E-03    -2.94872E+01
   111    3.05057E+03    9.27465E-01    3.54000E-03    -3.01439E+01
   112    3.07186E+03    9.45064E-01    3.60628E-03    -3.08849E+01
   113    3.10019E+03    9.58964E-01    3.67543E-03    -3.15834E+01
   114    3.14529E+03    9.67467E-01    3.73812E-03    -3.22128E+01
   115    3.18060E+03    9.76348E-01    3.81360E-03    -3.28906E+01
   116    3.20831E+03    9.86038E-01    3.88973E-03    -3.34800E+01
   117    3.24388E+03    9.93376E-01    3.94606E-03    -3.38901E+01
   118    3.27727E+03    1.00307E+00    4.00182E-03    -3.43181E+01
   119    3.30449E+03    1.01439E+00    4.07221E-03    -3.48708E+01
   120    3.33768E+03    1.02385E+00    4.15781E-03    -3.55008E+01
   121    3.37128E+03    1.03415E+00    4.24346E-03    -3.61016E+01
   122    3.40030E+03    1.04408E+00    4.32746E-03    -3.65542E+01
   123    3.42842E+03    1.04951E+00    4.40749E-03    -3.70436E+01
   124    3.45308E+03    1.05414E+00    4.48731E-03    -3.76297E+01
   125    3.48677E+03    1.06239E+00    4.55376E-03    -3.82071E+01
   126    3.54104E+03    1.07290E+00    4.62021E-03    -3.88212E+01
   127    3.59878E+03    1.08557E+00    4.69801E-03    -3.95600E+01
   128    3.63875E+03    1.09530E+00    4.77187E-03    -4.02222E+01
   129    3.65210E+03    1.09539E+00    4.84096E-03    -4.03483E+01
   130    3.66549E+03    1.09170E+00    4.91812E-03    -4.03319E+01
   131    3.69417E+03    1.09274E+00    5.00257E-03    -4.06889E+01
   132    3.74004E+03    1.09740E+00    5.08255E-03    -4.12599E+01
   133    3.79795E+03    1.10336E+00    5.16434E-03    -4.19178E+01
   134    3.84705E+03    1.10925E+00    5.24661E-03    -4.24789E+01
   135    3.88035E+03    1.11530E+00    5.33004E-03    -4.29110E+01
   136    3.91880E+03    1.12114E+00    5.41961E-03    -4.34249E+01
   137    3.95399E+03    1.12337E+00    5.50964E-03    -4.38235E+01
   138    3.97941E+03    1.12322E+00    5.58437E-03    -4.40134E+01
   139    4.00031E+03    1.12280E+00    5.65020E-03    -4.41167E+01
   140    4.01805E+03    1.12303E+00    5.74142E-03    -4.42235E+01
   141    4.03897E+03    1.12150E+00    5.85644E-03    -4.43783E+01
   142    4.07396E+03    1.11833E+00    5.95239E-03    -4.46521E+01
   143    4.12316E+03    1.11707E+00    6.03113E-03    -4.49479E+01
   144    4.17368E+03    1.11543E+00    6.11737E-03    -4.51115E+01
   145    4.23229E+03    1.11573E+00    6.19353E-03    -4.55487E+01
   146    4.28809E+03    1.11729E+00    6.27578E-03    -4.61434E+01
   147    4.31437E+03    1.11380E+00    6.37493E-03    -4.62842E+01
   148    4.31629E+03    1.10604E+00    6.47920E-03    -4.60486E+01
   149    4.32078E+03    1.09775E+00    6.57347E-03    -4.57407E+01
   150    4.34140E+03    1.09038E+00    6.65723E-03    -4.55025E+01
   151    4.36578E+03    1.08369E+00    6.76501E-03    -4.53741E+01
   152    4.39753E+03    1.08038E+00    6.87981E-03    -4.54523E+01
   153    4.44205E+03    1.08021E+00    6.98072E-03    -4.55919E+01
   154    4.48800E+03    1.07909E+00    7.09148E-03    -4.57591E+01
   155    4.53543E+03    1.07341E+00    7.21029E-03    -4.59372E+01
   156    4.57456E+03    1.06320E+00    7.31073E-03    -4.59136E+01
